"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2043","Registration with correct email, username and password","LMS System","Fri Dec 19 09:35:20 UTC 2025","passed","Fri Dec 19 09:35:22 UTC 2025","Registration","Authentification","",""
"","1","test_forgot_password_link","tests.pytest","Fri Dec 19 09:35:45 UTC 2025","passed","Fri Dec 19 09:35:45 UTC 2025","TestUserInterface","test_markers","",""
"","1483","User login with wrong email or password","LMS System","Fri Dec 19 09:35:12 UTC 2025","passed","Fri Dec 19 09:35:13 UTC 2025","Authorization","Authentification","",""
"","4020","Create course","LMS System","Fri Dec 19 09:35:31 UTC 2025","passed","Fri Dec 19 09:35:35 UTC 2025","Courses","Courses","",""
"","3800","Create course","LMS System","Fri Dec 19 09:35:31 UTC 2025","passed","Fri Dec 19 09:35:34 UTC 2025","Courses","Courses","",""
"","4058","Edit course","LMS System","Fri Dec 19 09:35:36 UTC 2025","passed","Fri Dec 19 09:35:40 UTC 2025","Courses","Courses","",""
"","0","test_password_reset","tests.pytest","Fri Dec 19 09:35:45 UTC 2025","passed","Fri Dec 19 09:35:45 UTC 2025","TestUserAuthentification","test_markers","",""
"","1756","User login with wrong email or password","LMS System","Fri Dec 19 09:35:10 UTC 2025","passed","Fri Dec 19 09:35:11 UTC 2025","Authorization","Authentification","",""
"","1377","Check displaying of empty courses list","LMS System","Fri Dec 19 09:35:29 UTC 2025","passed","Fri Dec 19 09:35:30 UTC 2025","Courses","Courses","",""
"","0","test_regression_case","tests.pytest","Fri Dec 19 09:35:45 UTC 2025","passed","Fri Dec 19 09:35:45 UTC 2025","","test_markers","",""
"","3066","User login with correct email or password","LMS System","Fri Dec 19 09:35:15 UTC 2025","passed","Fri Dec 19 09:35:18 UTC 2025","Authorization","Authentification","",""
"","5497","Edit course","LMS System","Fri Dec 19 09:35:36 UTC 2025","passed","Fri Dec 19 09:35:42 UTC 2025","Courses","Courses","",""
"","1621","Check displaying of empty courses list","LMS System","Fri Dec 19 09:35:27 UTC 2025","passed","Fri Dec 19 09:35:28 UTC 2025","Courses","Courses","",""
"","2414","Check displaying of dashboard page","LMS System","Fri Dec 19 09:35:43 UTC 2025","passed","Fri Dec 19 09:35:45 UTC 2025","Dashboard","Dashboard","",""
"","0","test_login","tests.pytest","Fri Dec 19 09:35:45 UTC 2025","passed","Fri Dec 19 09:35:45 UTC 2025","TestUserAuthentification","test_markers","",""
"","0","test_log_out","tests.pytest","Fri Dec 19 09:35:45 UTC 2025","passed","Fri Dec 19 09:35:45 UTC 2025","TestUserAuthentification","test_markers","",""
"","1759","User login with wrong email or password","LMS System","Fri Dec 19 09:35:17 UTC 2025","passed","Fri Dec 19 09:35:19 UTC 2025","Authorization","Authentification","",""
"","1616","User login with wrong email or password","LMS System","Fri Dec 19 09:35:13 UTC 2025","passed","Fri Dec 19 09:35:15 UTC 2025","Authorization","Authentification","",""
"","1540","Navigation from login page to registration page","LMS System","Fri Dec 19 09:35:26 UTC 2025","passed","Fri Dec 19 09:35:27 UTC 2025","Authorization","Authentification","",""
"","1529","User login with wrong email or password","LMS System","Fri Dec 19 09:35:15 UTC 2025","passed","Fri Dec 19 09:35:17 UTC 2025","Authorization","Authentification","",""
"","1404","User login with wrong email or password","LMS System","Fri Dec 19 09:35:13 UTC 2025","passed","Fri Dec 19 09:35:15 UTC 2025","Authorization","Authentification","",""
"","2229","Check displaying of dashboard page","LMS System","Fri Dec 19 09:35:43 UTC 2025","passed","Fri Dec 19 09:35:45 UTC 2025","Dashboard","Dashboard","",""
"","2569","Registration with correct email, username and password","LMS System","Fri Dec 19 09:35:22 UTC 2025","passed","Fri Dec 19 09:35:25 UTC 2025","Registration","Authentification","",""
"","0","test_critical_login","tests.pytest","Fri Dec 19 09:35:45 UTC 2025","passed","Fri Dec 19 09:35:45 UTC 2025","","test_markers","",""
"","1392","Navigation from login page to registration page","LMS System","Fri Dec 19 09:35:28 UTC 2025","passed","Fri Dec 19 09:35:29 UTC 2025","Authorization","Authentification","",""
"","6357","User login with correct email or password","LMS System","Fri Dec 19 09:35:19 UTC 2025","passed","Fri Dec 19 09:35:25 UTC 2025","Authorization","Authentification","",""
